Column_Name	DataType	MaxLength	Mapping Type	Mapping Value
LimitIndicator	INTEGER		CONSTANT	0
LimitReviewDate	DATE		PASSTHRU	EQ3_TO_ORACLE_DATE(SCPF.SCLED)
LimitExpiryDate	DATE		PASSTHRU	EQ3_TO_ORACLE_DATE(SCPF.SCLED)
IsJointAccount	VARCHAR	1	CONSTANT	N
AccountOpenDate	DATE		PASSTHRU	EQ3_TO_ORACLE_DATE(SCPF.SCOAD)
LastStaticAmendementDate	TIMESTAMP		PASSTHRU	EQ3_TO_ORACLE_DATE(SCPF.SCDLM)
LastTransactionDate	DATE		PASSTHRU	NVL(EQ3_TO_ORACLE_DATE(SCPF.SCDLE),EQ3_TO_ORACLE_DATE(SCPF.SCOAD))
AccountStopDate	DATE			
AccountStopReason	VARCHAR	30		
AccountStopCode	VARCHAR	10		
AccountClosureDate	DATE			
DormancyStatus	VARCHAR	1		
DateOfDormancy	DATE			
DormantReactivationDate	DATE		PASSTHRU	NVL(EQ3_TO_ORACLE_DATE(SCPF.SCDLE),CONVERT_CODES('CONSTANT','BUSINESS_DATE'))
LastActiveTransactionDate	DATE			
FeeWaveIndicator	VARCHAR	1		
TaxIndicatorCredit	VARCHAR	5		
ChargeFundingAccountId	VARCHAR	20		
Frequencyperiodcode	VARCHAR			
Frequencyperiodunit	INTEGER			
StatementDay	INTEGER			
StatementMonth	INTEGER			
AccountStatementConfigId	VARCHAR	20		
BalSheetDebitNominalCode	VARCHAR	15	PASSTHRU	BSHEET_DRNOMINALCODE
BalSheetDebitCostCenterCode	VARCHAR	15	PASSTHRU	BSHEET_DRCOSTCENTRECODE
BalSheetCreditNominalCode	VARCHAR	15	PASSTHRU	BSHEET_CRNOMINALCODE
BalSheetCreditCostCenterCode	VARCHAR	15	PASSTHRU	BSHEET_CRCOSTCENTRECODE
ProfitLossNominalCode	VARCHAR	15	PASSTHRU	PANDL_NOMINALCODE
ProfitLossCostCentreCode	VARCHAR	15	PASSTHRU	PANDL_COSTCENTRECODE
CreditBaseCode	VARCHAR	8	PASSTHRU	CRINT_CREDITBASECODE
CreditInterestRate	DECIMAL	14	CONSTANT	3.5
CreditInterestMargin	DECIMAL	14	CONSTANT	0
LastInterestAppliedCR	DECIMAL			
InterestBaseDaysCR	INTEGER		PASSTHRU	CONVERT_CODES('INT_DAYS_BASIS_DR', S5PF.S5IDBC)
InterestRateBasisCR	INTEGER			
InterestMethodCR	INTEGER			
InterestAccrualMethodCR	INTEGER			
NominalDiscountedPrincipalCR	DECIMAL			
FrequencyPeriodCodeCR	VARCHAR			
FrequencyPeriodUnitCR	INTEGER			
ApplicationDayCR	INTEGER			
ApplicationMonthCR	INTEGER			
CRIntNominalCode	VARCHAR	15	PASSTHRU	CRINT_NOMINALCODE
CRIntCostCentre	VARCHAR	15	PASSTHRU	CRINT_COSTCENTRE
CRIntPayawayAccount	VARCHAR	60		
WHTApplicable	VARCHAR	1		
WHTCalcMethod	VARCHAR	1		
YTDInterest	DECIMAL			
DebitBaseCode	VARCHAR	8		
DebitInterestMargin	DECIMAL			
DebitInterestRate	DECIMAL			
InterestBaseDaysDR	INTEGER		PASSTHRU	CONVERT_CODES('INT_DAYS_BASIS_DR', S5PF.S5IDBD)
InterestRateBasisDR	INTEGER			
InterestMethodDR	INTEGER			
InterestAccrualMethodDR	INTEGER			
DRIntNominalCode	VARCHAR	15		
DRIntCostCentre	VARCHAR	15		
PayawayDRAccount	VARCHAR	20		
FrequencyPeriodCodeDR	VARCHAR			
FrequencyPeriodUnitDR	INTEGER			
ApplicationDayDR	INTEGER			
ApplicationMonthDR	INTEGER			
NominalDiscountedPrincipalDR	DECIMAL			
LastInterestAppliedDR	DECIMAL			
LastDRIntApplicationDate	DATE			
PenaltyInterestCostCentreCode	VARCHAR	15	CONSTANT	00000001
PI_LastApplicationDate	TIMESTAMP		PASSTHRU	EQ3_TO_ORACLE_DATE(S5PF.S5LCDD) || TO_NCHAR(' 00:00:00')
PI_NextApplicationDate	TIMESTAMP		PASSTHRU	EQ3_TO_ORACLE_DATE(S5PF.S5NCDD) || TO_NCHAR(' 00:00:00')
LowestMonthlyBal	DECIMAL			
LastSavMinBal_IntAccrualDate	DATE			
JointCustomerNumber	VARCHAR			
AmountTenorRateID	VARCHAR			
IndustryCode	VARCHAR			
NextIntApplicationDateCR	DATE		PASSTHRU	NVL(EQ3_TO_ORACLE_DATE(S5PF.S5NCDC),CONVERT_CODES('CONSTANT','BUSINESS_DATE'))
NextIntApplicationDateDR	DATE		PASSTHRU	NVL(EQ3_TO_ORACLE_DATE(S5PF.S5NCDD),CONVERT_CODES('CONSTANT','BUSINESS_DATE'))
ExchangeRateMode	VARCHAR	50		
CheckMinimumBalanceRequired	VARCHAR	1		
IsBookedinFusionRisk	VARCHAR	1		
CreditInterestMarginType	VARCHAR	30		
CreditInterestMarginEnabled	VARCHAR	1		
CreditratechangeApplicationdat	VARCHAR	50		
IsCreditVariationRateApplicabl	VARCHAR	1		
DebitInterestMarginType	VARCHAR	30		
DebitInterestMarginEnabled	VARCHAR	1		
DebitratechangeApplicationdate	VARCHAR	50		
IsDebitVariationRateApplicable	VARCHAR	1		
Isexcludedfromdormancymarking	VARCHAR	1		
JointAccountOwnershipPercentag	DECIMAL	24		
ConsolidatedBulkPayment	VARCHAR	50		
SignificantExcessAmount	DECIMAL			
NoticeFreeWithdrawlAmount	DECIMAL			
FABApplicable	VARCHAR	1		
CoolingOFFEndDate	DATE			
IsOtherBankFundingAccountforDe	VARCHAR	1		
CustomerBaseMargin	DECIMAL			
IsOtherBankFundingAccountforCr	VARCHAR	1		
			__JOIN__	FROM scpf scpf
			__JOIN__	INNER JOIN gfpf ON gfpf.gfcpnc = scpf.scan  
			__JOIN__	INNER JOIN c8pf ON c8pf.c8ccy = scpf.scccy  
			__JOIN__	LEFT JOIN s5pf ON s5pf.s5ab = scpf.scab AND s5pf.s5an = scpf.scan AND s5pf.s5as = scpf.scas 
			__JOIN__	INNER JOIN c5pf ON c5pf.c5atp = scpf.scact
			__JOIN__	LEFT JOIN map_product ON scact = leg_acct_type
			__JOIN__	LEFT JOIN PROD_SUBPROD_PARAM ON DEST_PROD_CODE = PRODUCT_ACC_PRODUCTID and DEST_PROD_SUBCODE = PRODUCTCONTEXTCODE
